year,class_source,harmonized_class,total_area_km2,median_ratio,mean_ratio,zero_ratio_share,usable_share,lake_count
2000,harmonized_class,proglacial_contacted,69.4028202991642,0.1971912237495377,0.3369707102793314,0.3543629659975419,0.3473986071282261,2441
2001,harmonized_class,proglacial_contacted,70.11621838532237,0.2215059775748896,0.3498490378353203,0.3306022122081114,0.3711593609176567,2441
2002,harmonized_class,proglacial_contacted,70.55148616998936,0.1780697167214325,0.3364569304716767,0.3695206882425235,0.3420729209340434,2441
2003,harmonized_class,proglacial_contacted,53.79646214038296,0.0237388396023166,0.2282359878937049,0.464973371569029,0.1659156083572306,2441
2004,harmonized_class,proglacial_contacted,73.6538863119176,0.277315587461664,0.3721570709067332,0.2744776730848013,0.4010651372388365,2441
2005,harmonized_class,proglacial_contacted,77.17985431436072,0.2498336505898074,0.3682879775391433,0.3183121671446128,0.3785333879557558,2441
2006,harmonized_class,proglacial_contacted,90.48187835924732,0.5124161317008508,0.4931138883988144,0.1839410077836952,0.5530520278574355,2441
2007,harmonized_class,proglacial_contacted,92.68767505327808,0.5251769727099209,0.4987963628931808,0.1892666939778779,0.5718967636214666,2441
2008,harmonized_class,proglacial_contacted,87.83275170549629,0.4728224222899015,0.4600612916229858,0.2183531339614912,0.5272429332240884,2441
2009,harmonized_class,proglacial_contacted,87.9358814109073,0.3698290326581288,0.4143065796335127,0.2621876280213027,0.4473576403113478,2441
2010,harmonized_class,proglacial_contacted,85.28500829750065,0.4214152289884972,0.4437051206628092,0.2437525604260549,0.5071691929537075,2441
2011,harmonized_class,proglacial_contacted,98.02693985547684,0.5871202266120635,0.5236031621579809,0.1712412945514133,0.6173699303564113,2441
2012,harmonized_class,proglacial_contacted,68.11766311620967,0.2765141896668782,0.3695913007415175,0.3265055305202786,0.4362965997541991,2441
2013,harmonized_class,proglacial_contacted,92.71465484351548,0.4966639664035904,0.4781916074820433,0.1933633756657107,0.7222449815649324,2441
2014,harmonized_class,proglacial_contacted,74.49770375771104,0.3631080137392723,0.415557569357446,0.2724293322408849,0.6431790249897583,2441
2015,harmonized_class,proglacial_contacted,101.45942533430512,0.5107328362509586,0.4919522521261583,0.1696026218762802,0.7320770176157313,2441
2016,harmonized_class,proglacial_contacted,91.388409242946,0.4459047483436894,0.4549993664731792,0.2089307660794756,0.7337156902908644,2441
2017,harmonized_class,proglacial_contacted,88.44194468346849,0.4837675051500389,0.474680492250756,0.1945923801720606,0.7017615731257681,2441
2018,harmonized_class,proglacial_contacted,91.65706873116224,0.4393913013299728,0.4544971912640905,0.2199918066366243,0.6988938959442851,2441
2019,harmonized_class,proglacial_contacted,76.80623252812308,0.3049133985228847,0.3879679083485488,0.2666939778779189,0.622695616550594,2441
2020,harmonized_class,proglacial_contacted,93.39763524600724,0.4209011463425777,0.4354226283270023,0.2331011880376894,0.6935682097501025,2441
2021,harmonized_class,proglacial_contacted,96.75019034334572,0.5048776480941184,0.489233178640419,0.185170012290045,0.760344121261778,2441
2022,harmonized_class,proglacial_contacted,116.9020378644048,0.6833858495192564,0.5852204151883043,0.1126587464154035,0.8762802130274477,2441
2023,harmonized_class,proglacial_contacted,104.04110825277544,0.5872737811663279,0.5254564055564476,0.133551823023351,0.8303973781237198,2441
2024,harmonized_class,proglacial_contacted,102.95739329348764,0.4816439083925546,0.4712344530250459,0.19950839819746,0.7894305612453912,2441
2000,harmonized_class,proglacial_detached,204.2770917668236,0.3975168349409408,0.4298460028821058,0.289299046038988,0.5754873496474492,4822
2001,harmonized_class,proglacial_detached,217.57404554118264,0.4135959214780634,0.4434457469924072,0.2596433015346329,0.6009954375777685,4822
2002,harmonized_class,proglacial_detached,199.6159834960781,0.3695054090254082,0.4144118428857636,0.3106594773952716,0.5159684778100373,4822
2003,harmonized_class,proglacial_detached,181.5525929310141,0.2724500230750302,0.3625218214805004,0.3436333471588552,0.384072998755703,4822
2004,harmonized_class,proglacial_detached,209.3618074018843,0.449899652014735,0.4596077335078192,0.2345499792617171,0.6719203649937785,4822
2005,harmonized_class,proglacial_detached,233.80972369349095,0.5026680236343588,0.4970991658013128,0.1945250933222729,0.6663210286188304,4822
2006,harmonized_class,proglacial_detached,241.8598359739242,0.5712232585115469,0.5379820488057824,0.1555371215263376,0.7581916217337205,4822
2007,harmonized_class,proglacial_detached,241.6728389007301,0.580450100889887,0.54575530279413,0.1472418083782662,0.7903359601824969,4822
2008,harmonized_class,proglacial_detached,235.8899099055901,0.545693844752792,0.5214013312040724,0.1642472003318125,0.7482372459560348,4822
2009,harmonized_class,proglacial_detached,238.18025726082035,0.5286054655154039,0.5128411799980076,0.1739941932807963,0.7175445873081708,4822
2010,harmonized_class,proglacial_detached,232.0525139826876,0.5174549170410523,0.5054075685063891,0.1874740771464123,0.7127747822480298,4822
2011,harmonized_class,proglacial_detached,256.4412191752834,0.6141833202495215,0.5720213950303294,0.1244296972210701,0.8239319784321858,4822
2012,harmonized_class,proglacial_detached,194.0803813745285,0.3454321100400853,0.4026765309450112,0.3085856491082538,0.5918705931148901,4822
2013,harmonized_class,proglacial_detached,246.87960979742604,0.539209506708763,0.5262513960600448,0.1171712982165076,0.8838656159270012,4822
2014,harmonized_class,proglacial_detached,190.9599522848199,0.3935717914858623,0.4261595845018747,0.245126503525508,0.7621318954790544,4822
2015,harmonized_class,proglacial_detached,249.2226323822186,0.5846997137263035,0.5551930398475097,0.094773952716715,0.9151804230609706,4822
2016,harmonized_class,proglacial_detached,231.07647691423333,0.4941511706688269,0.492819026664781,0.1511820821236001,0.8761924512650353,4822
2017,harmonized_class,proglacial_detached,225.813895532302,0.4633760830789361,0.4758695976769695,0.1893405226047283,0.8050601410203235,4822
2018,harmonized_class,proglacial_detached,217.73310110527075,0.4697927090136806,0.4761108024216283,0.1820821236001659,0.8166735794276234,4822
2019,harmonized_class,proglacial_detached,205.08412065444784,0.4091075077811335,0.4356062931308098,0.223143923683119,0.7687681459975114,4822
2020,harmonized_class,proglacial_detached,224.94009582806237,0.4489707250531556,0.4663152807812024,0.1878888428038158,0.8121111571961842,4822
2021,harmonized_class,proglacial_detached,235.81681179147685,0.4968867433172447,0.4977582482506169,0.140812940688511,0.8608461219411033,4822
2022,harmonized_class,proglacial_detached,268.39668150509243,0.6435057074721615,0.5923327460849829,0.0696806304437992,0.9614267938614682,4822
2023,harmonized_class,proglacial_detached,248.5068115133028,0.5986064850926324,0.5644356139832593,0.0848195769390294,0.938614682704272,4822
2024,harmonized_class,proglacial_detached,243.6171636738609,0.5455577435036776,0.5221243264096842,0.1043135628369971,0.9245126503525508,4822
2000,harmonized_class,supraglacial,5.423841295629869,0.103837464140874,0.2960823120064846,0.4202401372212693,0.5900514579759862,583
2001,harmonized_class,supraglacial,4.896186493192054,0.0416022692081969,0.2671929983235784,0.4562607204116638,0.4476843910806174,583
2002,harmonized_class,supraglacial,5.326302451087607,0.1248655005854894,0.3000838871468051,0.3876500857632933,0.6192109777015438,583
2003,harmonized_class,supraglacial,3.793202472619378,0.0222073896001635,0.1986840358524339,0.4665523156089194,0.0994854202401372,583
2004,harmonized_class,supraglacial,5.564383132979073,0.1736913892537713,0.3213679912520692,0.3379073756432247,0.6089193825042881,583
2005,harmonized_class,supraglacial,5.515613261171573,0.1323689840067085,0.2898283715957614,0.3653516295025729,0.5283018867924528,583
2006,harmonized_class,supraglacial,7.500830343574534,0.3327210710952506,0.424137740259347,0.2246998284734133,0.7375643224699828,583
2007,harmonized_class,supraglacial,7.892238171910644,0.3656038011850784,0.4496873861501724,0.1955403087478559,0.7701543739279588,583
2008,harmonized_class,supraglacial,7.8927109120286945,0.379709121865743,0.4514436655787995,0.2212692967409948,0.7358490566037735,583
2009,harmonized_class,supraglacial,7.885571449389631,0.3533776566289111,0.4152370573230833,0.274442538593482,0.6552315608919382,583
2010,harmonized_class,supraglacial,6.358246970752656,0.2377877741975714,0.350946757354649,0.3447684391080617,0.5694682675814752,583
2011,harmonized_class,supraglacial,7.911595451456687,0.3742690926165777,0.4457139017640766,0.2246998284734133,0.7084048027444254,583
2012,harmonized_class,supraglacial,6.308988129348559,0.1994734703286522,0.3453340281940423,0.3104631217838765,0.6775300171526587,583
2013,harmonized_class,supraglacial,6.850621480040289,0.2936636161791014,0.3819797643019083,0.2675814751286449,0.8524871355060034,583
2014,harmonized_class,supraglacial,4.798141057904395,0.172332587284487,0.3073570387612853,0.353344768439108,0.7632933104631218,583
2015,harmonized_class,supraglacial,6.505734077061774,0.199629471089877,0.3582373159832034,0.307032590051458,0.8164665523156089,583
2016,harmonized_class,supraglacial,5.8619033029583925,0.149314654366064,0.3327825280079555,0.3310463121783876,0.8061749571183533,583
2017,harmonized_class,supraglacial,5.580034262390596,0.1390750541950453,0.3240485971478291,0.3396226415094339,0.8250428816466552,583
2018,harmonized_class,supraglacial,5.6662149790079575,0.1171091151909293,0.3064576244877238,0.3550600343053173,0.8181818181818182,583
2019,harmonized_class,supraglacial,5.381567423341503,0.0776088187163905,0.3028552344475218,0.3910806174957118,0.7478559176672385,583
2020,harmonized_class,supraglacial,4.9759199070094535,0.0605198130170805,0.2734452492686908,0.4082332761578044,0.7958833619210978,583
2021,harmonized_class,supraglacial,5.968775603229579,0.1371554202685878,0.3306697230081271,0.3327615780445969,0.8336192109777015,583
2022,harmonized_class,supraglacial,6.079087234488673,0.1903349041624049,0.3540973446759116,0.3053173241852487,0.921097770154374,583
2023,harmonized_class,supraglacial,6.1569747358359965,0.1999634470816213,0.3561739228960426,0.2830188679245283,0.8936535162950258,583
2024,harmonized_class,supraglacial,1.3153431075824775,0.0,0.0354469008137758,0.8867924528301887,0.8250428816466552,583
