year,rows,lake_count,usable_rows,usable_share,total_annual_area_km2,usable_total_annual_area_km2,median_image_count,mean_image_count,low_image_rows,low_valid_rows,low_ratio_rows,high_ratio_rows,usable_median_area_ratio,usable_mean_area_ratio,usable_median_valid_fraction,usable_median_water_area_km2,total_area_change_km2,usable_total_area_change_km2,usable_share_change
2000,7846,7846,3967,0.5056079530971196,279.1037533616177,222.4528724148008,6.0,6.477185827173082,1061,3535,3000,0,0.7274479693632172,0.639271913511839,0.9971203929039308,0.0,,,
2001,7846,7846,4065,0.5180983940861585,292.5864504196971,238.08652294974053,6.0,6.215651287280143,1241,3266,2878,0,0.7089562248435672,0.6189858038054231,0.9967993623903209,0.0,13.482697058079395,15.63365053493976,0.0124904409890389
2002,7846,7846,3684,0.4695386184042824,275.4937721171551,199.4199407352245,5.0,5.6937292888095845,1181,3587,3117,0,0.7128839359673557,0.6297591443153203,0.9970885946420196,0.0,-17.09267830254197,-38.66658221451604,-0.048559775681876
2003,7846,7846,2315,0.2950548049961764,239.14225754401645,163.9831677791379,3.0,3.4402243181238847,3704,4428,3688,0,0.6849280714045397,0.608062691401544,0.9966855797792984,0.0003719083305807,-36.35151457313867,-35.4367729560866,-0.174483813408106
2004,7846,7846,4574,0.5829722151414733,288.58007684678097,250.19841771460784,8.0,8.37560540402753,9,3267,2566,0,0.723116078905393,0.640182627086479,0.9967228961267968,0.0,49.43781930276453,86.21524993546996,0.2879174101452969
2005,7846,7846,4445,0.5665307162885547,316.50519126902327,271.64688071027285,8.0,8.241651797094061,904,3105,2433,0,0.7451765811383168,0.6599237428035508,0.996665791990988,0.0,27.925114422242302,21.44846299566501,-0.0164414988529186
2006,7846,7846,5436,0.6928371144532246,339.84254467674606,294.0363374381099,10.0,11.11929645679327,193,2355,1762,0,0.7682295963019865,0.6709774044612232,0.9973292380001852,0.0,23.337353407722787,22.389456727837057,0.1263063981646699
2007,7846,7846,5656,0.7208768799388223,342.25275212591885,317.0216299908807,10.0,10.584756563854194,3,2190,1714,0,0.7665837005983722,0.6738636971308133,0.997430061906931,0.0,2.410207449172788,22.985292552770773,0.0280397654855977
2008,7846,7846,5324,0.6785623247514657,331.61537252311507,301.0255885519218,9.0,10.216543461636505,30,2519,1972,0,0.7549397587095942,0.6724928996538047,0.9973607714584172,0.0,-10.637379602803776,-15.996041438958857,-0.0423145551873566
2009,7846,7846,4934,0.6288554677542697,334.0017101211173,302.75121706325314,12.0,14.062962018863114,0,2912,2120,0,0.7692068171389339,0.6757496514109796,0.9969099854436214,0.0,2.3863375980022283,1.7256285113313083,-0.049706856997196
2010,7846,7846,5007,0.638159571756309,323.6957692509409,286.86245680483694,10.0,10.99719602345144,0,2839,2184,0,0.7683775918927467,0.6772991884492968,0.9970756533306416,0.0,-10.305940870176414,-15.888760258416198,0.0093041040020392
2011,7846,7846,5893,0.75108335457558,362.3797544822169,340.6402396887975,11.0,12.905047157787408,5,1953,1555,0,0.7793769865654929,0.6841371944448392,0.9972877519665884,0.0,38.68398523127604,53.77778288396058,0.1129237828192709
2012,7846,7846,4314,0.549834310476676,268.5070326200868,228.9250719922597,6.0,6.918302319653327,739,3488,2985,0,0.710494387070302,0.6239144903560278,0.9973056968547,0.0,-93.87272186213016,-111.71516769653786,-0.2012490440989039
2013,7846,7846,6522,0.8312515931684935,346.4448861209818,335.2874814712696,15.0,16.12898292123375,0,1324,1711,0,0.6261946646962214,0.5786334618869016,0.9973611378092616,0.0,77.93785350089502,106.36240947900988,0.2814172826918175
2014,7846,7846,5690,0.725210298241142,270.25579710043536,257.9580198047512,15.0,16.329467244455774,0,2156,2620,0,0.5880378466740083,0.5446886191439752,0.9977116242396042,0.0,-76.18908902054642,-77.32946166651834,-0.1060412949273514
2015,7846,7846,6676,0.850879429008412,357.1877917935855,343.64475751136354,17.0,17.48929390772368,0,1170,1528,0,0.650189794665901,0.5898797969019938,0.9972196317669731,0.0,86.93199469315016,85.68673770661235,0.1256691307672699
2016,7846,7846,6486,0.8266632679072139,328.3267894601377,314.9178358087935,17.0,17.680729033902626,0,1360,1990,0,0.5867186522892966,0.5467943911112333,0.997313813037615,0.0,-28.8610023334478,-28.726921702570053,-0.024216161101198
2017,7846,7846,6076,0.774407341320418,319.8358744781611,304.11430138584365,16.0,17.52090237063472,0,1770,2151,0,0.6339152339478641,0.5723155351608772,0.9976403511116572,0.0,-8.49091498197663,-10.803534422949838,-0.0522559265867959
2018,7846,7846,6121,0.7801427478970175,315.05638481544094,292.739929574609,16.0,17.412312006117766,0,1725,2139,0,0.6048537946186888,0.5581858942828213,0.997514621316234,0.0,-4.779489662720152,-11.374371811234653,0.0057354065765995
2019,7846,7846,5663,0.7217690542951822,287.27192060591244,271.4652567413507,16.0,17.13089472342595,0,2183,2579,0,0.5718919150135036,0.5370136230160576,0.997527005633036,0.0,-27.78446420952849,-21.274672833258307,-0.0583736936018353
2020,7846,7846,6073,0.7740249808819781,323.31365098107904,305.3637579032528,16.0,16.820163140453733,0,1773,2310,0,0.5909270311566446,0.5447410027602909,0.9974209329084196,0.0,36.041730375166594,33.89850116190212,0.0522559265867959
2021,7846,7846,6493,0.8275554422635738,338.53577773805216,330.67918009825866,17.0,17.390517461126688,0,1353,1905,0,0.6129873539140995,0.5623265513298381,0.9975103270510643,0.0,15.222126756973124,25.31542219500585,0.0535304613815956
2022,7846,7846,7312,0.9319398419576854,391.3778066039859,387.1356693969269,26.0,27.10655110884527,0,534,1210,0,0.681081356905531,0.6045520628043284,0.9976425311206716,0.0,52.84202886593374,56.45648929866826,0.1043843996941116
2023,7846,7846,7074,0.9016059138414478,358.7048945019142,348.15001795331284,23.0,25.564236553657917,0,772,1412,0,0.6441304027684438,0.5826625137988182,0.997609074429136,0.0,-32.67291210207168,-38.98565144361408,-0.0303339281162375
2024,7846,7846,6866,0.87509559010961,347.889900074931,341.6814442612601,23.0,23.941626306398163,0,980,1933,0,0.5619013807646175,0.5270575178735734,0.9974567300431068,0.0,-10.81499442698322,-6.4685736920527575,-0.0265103237318378
