o1region,glambie_region_key,anchor_lon,anchor_lat,anchor_source
1,alaska,-138.209,59.7225,lake_median_nearest_point
2,western_canada_us,-120.145,52.3124,lake_median_nearest_point
3,arctic_canada_north,-81.2965,76.8044,lake_median_nearest_point
4,arctic_canada_south,-66.9066,67.6973,lake_median_nearest_point
5,greenland_periphery,-50.4086,66.7514,lake_median_nearest_point
6,iceland,-18.5728,64.7075,lake_median_nearest_point
8,scandinavia,8.45576,62.3284,lake_median_nearest_point
9,russian_arctic,58.9996,74.9985,lake_median_nearest_point
10,north_asia,88.2457,49.7505,lake_median_nearest_point
11,central_europe,9.28298,46.3739,lake_median_nearest_point
12,caucasus_middle_east,41.9485,43.25,lake_median_nearest_point
13,central_asia,84.8554,36.8376,lake_median_nearest_point
14,south_asia_west,74.9526,35.3309,lake_median_nearest_point
15,south_asia_east,90.3464,28.2742,lake_median_nearest_point
16,low_latitudes,-73.0353,-13.1651,lake_median_nearest_point
17,southern_andes,-72.7832,-49.1105,lake_median_nearest_point
18,new_zealand,168.588,-44.4234,lake_median_nearest_point
