interval,year_start,year_end,harmonized_class,area_change_km2,median_ratio_change,mean_ratio_change,zero_ratio_share_change,usable_share_change,lake_count,interval_total_area_change_km2,area_change_share_of_interval
2000_2005,2000,2005,proglacial_contacted,38.34765933331073,0.0980526604443347,0.0534204389489322,-0.0141631757430679,0.0785956513066027,5013,-53.80992371615776,-0.7126503195877213
2000_2005,2000,2005,proglacial_detached,-92.15758304946849,-0.056090655885708,-0.0472616096085917,0.0093061447926645,-0.02947858218147,36535,-53.80992371615776,1.7126503195877214
2005_2010,2005,2010,proglacial_contacted,244.0854722866402,0.0952690410851667,0.0672185923088635,-0.0273289447436665,0.1119090365050868,5013,589.1779091677058,0.414281439423695
2005_2010,2005,2010,proglacial_detached,345.0924368810656,0.0241452435805928,0.0386577622923345,-0.011386341863966,0.0812097988230463,36535,589.1779091677058,0.585718560576305
2010_2015,2010,2015,proglacial_contacted,-1074.9722333810942,-0.6630244059346534,-0.4052432969709948,0.0895671254737682,0.1079194095352084,5013,-2354.6774260884067,0.4565263256321438
2010_2015,2010,2015,proglacial_detached,-1279.7051927073126,-0.07984370591248,-0.0829395788640466,0.0123169563432324,0.0051457506500616,36535,-2354.6774260884067,0.5434736743678562
2015_2020,2015,2020,proglacial_contacted,-131.1908635377058,-0.027571110493142,-0.0150095944741474,0.0785956513066029,0.0576501097147417,5013,-333.1077649438921,0.3938391035699912
2015_2020,2015,2020,proglacial_detached,-201.9169014061863,-0.073033962335989,-0.0555809482791084,0.0307923908580813,0.0083755303133982,36535,-333.1077649438921,0.6061608964300088
2020_2024,2020,2024,proglacial_contacted,391.634627130594,0.1192144073231506,0.0925331954114854,-0.0845800917614202,0.0327149411530021,5013,1150.308086890943,0.3404606397135793
2020_2024,2020,2024,proglacial_detached,758.673459760349,0.1380472527730868,0.1089636443159384,-0.028411112631723,0.001149582592035,36535,1150.308086890943,0.6595393602864207
