region_key,region_name,response,predictor,test_name,n,estimate,p_value,predictor_label
alaska,Alaska,total_annual_area_km2_anomaly_z,era5l_tx90p_daily,pearson,24,0.4384814837013781,0.0320864941939832,TX90p
arctic_canada_north,Arctic Canada North,total_annual_area_km2_anomaly_z,era5l_tx90p_daily,pearson,24,0.4233361830872838,0.0392768476332302,TX90p
arctic_canada_south,Arctic Canada South,total_annual_area_km2_anomaly_z,era5l_tx90p_daily,pearson,24,0.3443104979548779,0.0994458003009343,TX90p
caucasus_middle_east,Caucasus and Middle East,total_annual_area_km2_anomaly_z,era5l_tx90p_daily,pearson,24,0.5215291519532061,0.0089585071274822,TX90p
central_asia,Central Asia,total_annual_area_km2_anomaly_z,era5l_tx90p_daily,pearson,24,0.4805329343904601,0.0174632367636511,TX90p
central_europe,Central Europe,total_annual_area_km2_anomaly_z,era5l_tx90p_daily,pearson,24,0.26779436780888,0.2058196645522492,TX90p
greenland_periphery,Greenland Periphery,total_annual_area_km2_anomaly_z,era5l_tx90p_daily,pearson,24,0.2583323323706142,0.2229106525074532,TX90p
iceland,Iceland,total_annual_area_km2_anomaly_z,era5l_tx90p_daily,pearson,24,0.1600337408655913,0.4550733988030233,TX90p
low_latitudes,Low Latitudes,total_annual_area_km2_anomaly_z,era5l_tx90p_daily,pearson,24,-0.024730003956689,0.908681801504688,TX90p
new_zealand,New Zealand,total_annual_area_km2_anomaly_z,era5l_tx90p_daily,pearson,24,-0.3302556871870233,0.1149933753132742,TX90p
north_asia,North Asia,total_annual_area_km2_anomaly_z,era5l_tx90p_daily,pearson,24,-0.1621378881300173,0.449087742438838,TX90p
russian_arctic,Russian Arctic,total_annual_area_km2_anomaly_z,era5l_tx90p_daily,pearson,24,0.1011224830447082,0.6382412931886154,TX90p
scandinavia,Scandinavia,total_annual_area_km2_anomaly_z,era5l_tx90p_daily,pearson,24,0.1568125599256896,0.4643169972154136,TX90p
south_asia_east,South Asia East,total_annual_area_km2_anomaly_z,era5l_tx90p_daily,pearson,24,0.1890711779754364,0.37624939921948,TX90p
south_asia_west,South Asia West,total_annual_area_km2_anomaly_z,era5l_tx90p_daily,pearson,24,0.123085542241493,0.5666517662472303,TX90p
southern_andes,Southern Andes,total_annual_area_km2_anomaly_z,era5l_tx90p_daily,pearson,24,0.4420593686985671,0.0305515718605889,TX90p
western_canada_us,Western Canada and USA,total_annual_area_km2_anomaly_z,era5l_tx90p_daily,pearson,24,0.3040101378566803,0.1486609484197693,TX90p
alaska,Alaska,total_annual_area_km2_anomaly_z,era5l_wsdi_daily,pearson,24,0.3725358997011753,0.0730070055343031,WSDI
arctic_canada_north,Arctic Canada North,total_annual_area_km2_anomaly_z,era5l_wsdi_daily,pearson,24,0.2893591904235055,0.170237947539005,WSDI
arctic_canada_south,Arctic Canada South,total_annual_area_km2_anomaly_z,era5l_wsdi_daily,pearson,24,0.0730821863010532,0.7343313736215956,WSDI
caucasus_middle_east,Caucasus and Middle East,total_annual_area_km2_anomaly_z,era5l_wsdi_daily,pearson,24,0.3939046352696801,0.056840458466726,WSDI
central_asia,Central Asia,total_annual_area_km2_anomaly_z,era5l_wsdi_daily,pearson,24,0.4588152633850605,0.0241246381441768,WSDI
central_europe,Central Europe,total_annual_area_km2_anomaly_z,era5l_wsdi_daily,pearson,24,0.3657077162103955,0.0788473044958518,WSDI
greenland_periphery,Greenland Periphery,total_annual_area_km2_anomaly_z,era5l_wsdi_daily,pearson,24,0.3106672992879632,0.1395279597380422,WSDI
iceland,Iceland,total_annual_area_km2_anomaly_z,era5l_wsdi_daily,pearson,24,0.3437217590547857,0.100063983626138,WSDI
low_latitudes,Low Latitudes,total_annual_area_km2_anomaly_z,era5l_wsdi_daily,pearson,24,0.0726851908273772,0.7357241201418516,WSDI
new_zealand,New Zealand,total_annual_area_km2_anomaly_z,era5l_wsdi_daily,pearson,24,-0.6757039139269623,0.000290442096582,WSDI
north_asia,North Asia,total_annual_area_km2_anomaly_z,era5l_wsdi_daily,pearson,24,-0.1633208080405549,0.4457410327635665,WSDI
russian_arctic,Russian Arctic,total_annual_area_km2_anomaly_z,era5l_wsdi_daily,pearson,24,0.1372780177316839,0.5223936459535431,WSDI
scandinavia,Scandinavia,total_annual_area_km2_anomaly_z,era5l_wsdi_daily,pearson,24,0.063629300763713,0.7677057060301369,WSDI
south_asia_east,South Asia East,total_annual_area_km2_anomaly_z,era5l_wsdi_daily,pearson,24,0.3388008047747015,0.1053429228297626,WSDI
south_asia_west,South Asia West,total_annual_area_km2_anomaly_z,era5l_wsdi_daily,pearson,24,0.0793458607440902,0.7124671304408614,WSDI
southern_andes,Southern Andes,total_annual_area_km2_anomaly_z,era5l_wsdi_daily,pearson,24,0.2533771122803277,0.232227193350637,WSDI
western_canada_us,Western Canada and USA,total_annual_area_km2_anomaly_z,era5l_wsdi_daily,pearson,24,0.1833680125871367,0.3910763829054128,WSDI
alaska,Alaska,total_annual_area_km2_anomaly_z,warm_extreme_year_flag_daily,pearson,24,0.3853451013385173,0.0629454009416878,Extreme-year flag
arctic_canada_north,Arctic Canada North,total_annual_area_km2_anomaly_z,warm_extreme_year_flag_daily,pearson,24,0.3755563288949571,0.0705311205072213,Extreme-year flag
arctic_canada_south,Arctic Canada South,total_annual_area_km2_anomaly_z,warm_extreme_year_flag_daily,pearson,24,0.2722865207183635,0.1980242496794518,Extreme-year flag
caucasus_middle_east,Caucasus and Middle East,total_annual_area_km2_anomaly_z,warm_extreme_year_flag_daily,pearson,24,0.3657005673121133,0.078853598718064,Extreme-year flag
central_asia,Central Asia,total_annual_area_km2_anomaly_z,warm_extreme_year_flag_daily,pearson,24,0.334227357469159,0.1104306660936334,Extreme-year flag
central_europe,Central Europe,total_annual_area_km2_anomaly_z,warm_extreme_year_flag_daily,pearson,24,0.1531746231726173,0.4748721886781866,Extreme-year flag
greenland_periphery,Greenland Periphery,total_annual_area_km2_anomaly_z,warm_extreme_year_flag_daily,pearson,24,0.1569746011661951,0.4638496909978301,Extreme-year flag
iceland,Iceland,total_annual_area_km2_anomaly_z,warm_extreme_year_flag_daily,pearson,24,0.2194191082119654,0.302930880455396,Extreme-year flag
low_latitudes,Low Latitudes,total_annual_area_km2_anomaly_z,warm_extreme_year_flag_daily,pearson,24,-0.1600971370208198,0.4548924481094255,Extreme-year flag
new_zealand,New Zealand,total_annual_area_km2_anomaly_z,warm_extreme_year_flag_daily,pearson,24,-0.3722456253522515,0.0732483835943562,Extreme-year flag
north_asia,North Asia,total_annual_area_km2_anomaly_z,warm_extreme_year_flag_daily,pearson,24,-0.1032151436676482,0.6312695161902181,Extreme-year flag
russian_arctic,Russian Arctic,total_annual_area_km2_anomaly_z,warm_extreme_year_flag_daily,pearson,24,0.047407936019891,0.8258903141531742,Extreme-year flag
scandinavia,Scandinavia,total_annual_area_km2_anomaly_z,warm_extreme_year_flag_daily,pearson,24,0.1669773337937513,0.4354800635292315,Extreme-year flag
south_asia_east,South Asia East,total_annual_area_km2_anomaly_z,warm_extreme_year_flag_daily,pearson,24,0.1564459073939,0.4653752749826262,Extreme-year flag
south_asia_west,South Asia West,total_annual_area_km2_anomaly_z,warm_extreme_year_flag_daily,pearson,24,0.1507637351039394,0.4819340422150481,Extreme-year flag
southern_andes,Southern Andes,total_annual_area_km2_anomaly_z,warm_extreme_year_flag_daily,pearson,24,0.3900121746613034,0.0595572250139853,Extreme-year flag
western_canada_us,Western Canada and USA,total_annual_area_km2_anomaly_z,warm_extreme_year_flag_daily,pearson,24,0.3195327514148706,0.127998491920607,Extreme-year flag
alaska,Alaska,total_annual_area_km2_anomaly_z,warm_season_t2m_anomaly_c,pearson,24,0.5774622846828735,0.0031286872086699,Monthly temp
arctic_canada_north,Arctic Canada North,total_annual_area_km2_anomaly_z,warm_season_t2m_anomaly_c,pearson,24,0.4840953932223158,0.0165298537907679,Monthly temp
arctic_canada_south,Arctic Canada South,total_annual_area_km2_anomaly_z,warm_season_t2m_anomaly_c,pearson,24,0.5128024405309533,0.0103959442317834,Monthly temp
caucasus_middle_east,Caucasus and Middle East,total_annual_area_km2_anomaly_z,warm_season_t2m_anomaly_c,pearson,24,0.651573699695871,0.0005623140685624,Monthly temp
central_asia,Central Asia,total_annual_area_km2_anomaly_z,warm_season_t2m_anomaly_c,pearson,24,0.2773468027061255,0.1894863145588453,Monthly temp
central_europe,Central Europe,total_annual_area_km2_anomaly_z,warm_season_t2m_anomaly_c,pearson,24,0.3320069334529866,0.1129648318024051,Monthly temp
greenland_periphery,Greenland Periphery,total_annual_area_km2_anomaly_z,warm_season_t2m_anomaly_c,pearson,24,0.120689282587318,0.5742856413684364,Monthly temp
iceland,Iceland,total_annual_area_km2_anomaly_z,warm_season_t2m_anomaly_c,pearson,24,-0.2296979511040149,0.280261163803213,Monthly temp
low_latitudes,Low Latitudes,total_annual_area_km2_anomaly_z,warm_season_t2m_anomaly_c,pearson,24,0.194499046931083,0.3624426369942858,Monthly temp
new_zealand,New Zealand,total_annual_area_km2_anomaly_z,warm_season_t2m_anomaly_c,pearson,24,-0.1302766327081115,0.5440189840215219,Monthly temp
north_asia,North Asia,total_annual_area_km2_anomaly_z,warm_season_t2m_anomaly_c,pearson,24,0.2925927952420142,0.1652982689613779,Monthly temp
russian_arctic,Russian Arctic,total_annual_area_km2_anomaly_z,warm_season_t2m_anomaly_c,pearson,24,0.0442896654618595,0.8371879966745781,Monthly temp
scandinavia,Scandinavia,total_annual_area_km2_anomaly_z,warm_season_t2m_anomaly_c,pearson,24,0.5068460643713892,0.0114825563370701,Monthly temp
south_asia_east,South Asia East,total_annual_area_km2_anomaly_z,warm_season_t2m_anomaly_c,pearson,24,0.1284434486932509,0.5497487022928239,Monthly temp
south_asia_west,South Asia West,total_annual_area_km2_anomaly_z,warm_season_t2m_anomaly_c,pearson,24,0.0613204315915752,0.7759211550256344,Monthly temp
southern_andes,Southern Andes,total_annual_area_km2_anomaly_z,warm_season_t2m_anomaly_c,pearson,24,0.4446015721622085,0.029497013917514,Monthly temp
western_canada_us,Western Canada and USA,total_annual_area_km2_anomaly_z,warm_season_t2m_anomaly_c,pearson,24,0.3339504082380083,0.1107444483926965,Monthly temp
