segment,metric,year_start,year_end,slope,intercept,r2,p_value,n
full,total_annual_area_km2,2000,2024,2.578570864006214,-4868.968261915182,0.2783746281222632,0.0067180741900341,25
early,total_annual_area_km2,2000,2012,4.805443375491279,-9332.511223746398,0.2712160589378415,0.0680326612246066,13
late,total_annual_area_km2,2012,2024,5.074390173906435,-9912.987947335896,0.3035757841628363,0.0509911786892254,13
full,median_ratio,2000,2024,-0.0070177191135885,14.798552741632664,0.5089116464652672,6.250081232847581e-05,25
early,median_ratio,2000,2012,0.0044519101913479,-8.190553559236376,0.3276969210173185,0.0408987071411929,13
late,median_ratio,2012,2024,-0.0032687867582529,7.216667356191811,0.0860931302372377,0.3305653214653726,13
full,mean_ratio,2000,2024,-0.0048841132203039,10.435774656007675,0.4828835641051529,0.0001157843777361,25
early,mean_ratio,2000,2012,0.0038757910455402,-7.122942956674517,0.3349133188258626,0.0382469075592081,13
late,mean_ratio,2012,2024,-0.002437424320093,5.485858082596039,0.1129001833013962,0.2616717603560393,13
full,zero_ratio_share,2000,2024,-0.0060409027627993,12.371451597090353,0.375954244573911,0.0011179209558737,25
early,zero_ratio_share,2000,2012,-0.0110807494824827,22.477694240503027,0.3209105217014587,0.0435401831168454,13
late,zero_ratio_share,2012,2024,-0.0073663909376378,15.05744930572955,0.2242936068716282,0.102096617359755,13
