year,usable_share,usable_share_pct,total_annual_area_km2,usable_total_annual_area_km2,usable_median_area_ratio,usable_mean_area_ratio,median_image_count,low_ratio_rows
2000,0.5056079530971196,50.560795309711956,279.1037533616177,222.4528724148008,0.7274479693632172,0.639271913511839,6.0,3000
2001,0.5180983940861585,51.80983940861586,292.5864504196971,238.08652294974053,0.7089562248435672,0.6189858038054231,6.0,2878
2002,0.4695386184042824,46.95386184042824,275.4937721171551,199.4199407352245,0.7128839359673557,0.6297591443153203,5.0,3117
2003,0.2950548049961764,29.505480499617644,239.14225754401645,163.9831677791379,0.6849280714045397,0.608062691401544,3.0,3688
2004,0.5829722151414733,58.29722151414734,288.58007684678097,250.19841771460784,0.723116078905393,0.640182627086479,8.0,2566
2005,0.5665307162885547,56.653071628855464,316.50519126902327,271.64688071027285,0.7451765811383168,0.6599237428035508,8.0,2433
2006,0.6928371144532246,69.28371144532247,339.84254467674606,294.0363374381099,0.7682295963019865,0.6709774044612232,10.0,1762
2007,0.7208768799388223,72.08768799388223,342.25275212591885,317.0216299908807,0.7665837005983722,0.6738636971308133,10.0,1714
2008,0.6785623247514657,67.85623247514657,331.61537252311507,301.0255885519218,0.7549397587095942,0.6724928996538047,9.0,1972
2009,0.6288554677542697,62.885546775426974,334.0017101211173,302.75121706325314,0.7692068171389339,0.6757496514109796,12.0,2120
2010,0.638159571756309,63.8159571756309,323.6957692509409,286.86245680483694,0.7683775918927467,0.6772991884492968,10.0,2184
2011,0.75108335457558,75.108335457558,362.3797544822169,340.6402396887975,0.7793769865654929,0.6841371944448392,11.0,1555
2012,0.549834310476676,54.983431047667594,268.5070326200868,228.9250719922597,0.710494387070302,0.6239144903560278,6.0,2985
2013,0.8312515931684935,83.12515931684935,346.4448861209818,335.2874814712696,0.6261946646962214,0.5786334618869016,15.0,1711
2014,0.725210298241142,72.52102982411421,270.25579710043536,257.9580198047512,0.5880378466740083,0.5446886191439752,15.0,2620
2015,0.850879429008412,85.0879429008412,357.1877917935855,343.64475751136354,0.650189794665901,0.5898797969019938,17.0,1528
2016,0.8266632679072139,82.66632679072139,328.3267894601377,314.9178358087935,0.5867186522892966,0.5467943911112333,17.0,1990
2017,0.774407341320418,77.4407341320418,319.8358744781611,304.11430138584365,0.6339152339478641,0.5723155351608772,16.0,2151
2018,0.7801427478970175,78.01427478970176,315.05638481544094,292.739929574609,0.6048537946186888,0.5581858942828213,16.0,2139
2019,0.7217690542951822,72.17690542951823,287.27192060591244,271.4652567413507,0.5718919150135036,0.5370136230160576,16.0,2579
2020,0.7740249808819781,77.40249808819782,323.31365098107904,305.3637579032528,0.5909270311566446,0.5447410027602909,16.0,2310
2021,0.8275554422635738,82.75554422635739,338.53577773805216,330.67918009825866,0.6129873539140995,0.5623265513298381,17.0,1905
2022,0.9319398419576854,93.19398419576854,391.3778066039859,387.1356693969269,0.681081356905531,0.6045520628043284,26.0,1210
2023,0.9016059138414478,90.16059138414478,358.7048945019142,348.15001795331284,0.6441304027684438,0.5826625137988182,23.0,1412
2024,0.87509559010961,87.509559010961,347.889900074931,341.6814442612601,0.5619013807646175,0.5270575178735734,23.0,1933
