interval,harmonized_class,area_change_km2,area_change_share_of_interval,median_ratio_change,mean_ratio_change,zero_ratio_share_change,usable_share_change,lake_count,area_change_share_of_interval_pct,zero_ratio_share_change_pct,usable_share_change_pct
2000_2005,proglacial_contacted,38.34765933331073,-0.7126503195877213,0.0980526604443347,0.0534204389489322,-0.0141631757430679,0.0785956513066027,5013,-71.26503195877213,-1.4163175743067902,7.85956513066027
2000_2005,proglacial_detached,-92.15758304946849,1.7126503195877214,-0.056090655885708,-0.0472616096085917,0.0093061447926645,-0.02947858218147,36535,171.26503195877214,0.93061447926645,-2.9478582181469997
2005_2010,proglacial_contacted,244.0854722866402,0.414281439423695,0.0952690410851667,0.0672185923088635,-0.0273289447436665,0.1119090365050868,5013,41.4281439423695,-2.73289447436665,11.19090365050868
2005_2010,proglacial_detached,345.0924368810656,0.585718560576305,0.0241452435805928,0.0386577622923345,-0.011386341863966,0.0812097988230463,36535,58.5718560576305,-1.1386341863966,8.12097988230463
2010_2015,proglacial_contacted,-1074.9722333810942,0.4565263256321438,-0.6630244059346534,-0.4052432969709948,0.0895671254737682,0.1079194095352084,5013,45.65263256321438,8.95671254737682,10.79194095352084
2010_2015,proglacial_detached,-1279.7051927073126,0.5434736743678562,-0.07984370591248,-0.0829395788640466,0.0123169563432324,0.0051457506500616,36535,54.34736743678562,1.23169563432324,0.51457506500616
2015_2020,proglacial_contacted,-131.1908635377058,0.3938391035699912,-0.027571110493142,-0.0150095944741474,0.0785956513066029,0.0576501097147417,5013,39.38391035699912,7.85956513066029,5.76501097147417
2015_2020,proglacial_detached,-201.9169014061863,0.6061608964300088,-0.073033962335989,-0.0555809482791084,0.0307923908580813,0.0083755303133982,36535,60.61608964300088,3.0792390858081298,0.8375530313398201
2020_2024,proglacial_contacted,391.634627130594,0.3404606397135793,0.1192144073231506,0.0925331954114854,-0.0845800917614202,0.0327149411530021,5013,34.04606397135793,-8.45800917614202,3.27149411530021
2020_2024,proglacial_detached,758.673459760349,0.6595393602864207,0.1380472527730868,0.1089636443159384,-0.028411112631723,0.001149582592035,36535,65.95393602864206,-2.8411112631723,0.11495825920349999
